X, Y0
5.2970,0.0005
5.3166,0.0007
5.3363,0.0008
5.3559,0.0006
5.3755,0.0005
5.3951,0.0008
5.4147,0.0004
5.4344,0.0006
5.4540,0.0002
5.4736,0.0005
5.4932,0.0008
5.5128,0.0005
5.5325,0.0004
5.5521,0.0005
5.5717,0.0006
5.5913,0.0006
5.6109,0.0005
5.6305,0.0005
5.6502,0.0003
5.6698,0.0008
5.6894,0.0004
5.7090,0.0002
5.7286,0.0008
5.7483,0.0005
5.7679,0.0005
5.7875,0.0008
5.8071,0.0002
5.8267,0.0006
5.8463,0.0008
5.8660,0.0002
5.8856,0.0007
5.9052,0.0010
5.9248,0.0002
5.9444,0.0008
5.9641,0.0005
5.9837,0.0004
6.0033,0.0008
6.0229,-0.0004
6.0425,0.0004
6.0622,0.0006
6.0818,0.0005
6.1014,0.0004
6.1210,0.0005
6.1406,0.0007
6.1602,0.0005
6.1799,0.0008
6.1995,0.0003
6.2191,0.0005
6.2387,0.0008
6.2583,0.0006
6.2780,0.0005
6.2976,0.0005
6.3172,0.0007
6.3368,0.0005
6.3564,0.0005
6.3761,0.0002
6.3957,0.0007
6.4153,0.0009
6.4349,0.0005
6.4545,0.0007
6.4741,0.0005
6.4938,0.0004
6.5134,0.0006
6.5330,0.0008
6.5526,0.0008
6.5722,0.0005
6.5919,0.0008
6.6115,0.0007
6.6311,0.0005
6.6507,0.0007
6.6703,0.0008
6.6899,0.0008
6.7096,0.0009
6.7292,0.0011
6.7488,0.0011
6.7684,0.0012
6.7880,0.0005
6.8077,0.0008
6.8273,0.0006
6.8469,0.0006
6.8665,0.0007
6.8861,0.0006
6.9058,0.0008
6.9254,0.0006
6.9450,0.0008
6.9646,0.0007
6.9842,0.0006
7.0038,0.0006
7.0235,0.0007
7.0431,0.0011
7.0627,0.0008
7.0823,0.0006
7.1019,0.0008
7.1216,0.0010
7.1412,0.0006
7.1608,0.0012
7.1804,0.0007
7.2000,0.0015
7.2197,0.0012
7.2393,0.0014
7.2589,0.0009
7.2785,0.0010
7.2981,0.0015
7.3177,0.0013
7.3374,0.0014
7.3570,0.0009
7.3766,0.0013
7.3962,0.0011
7.4158,0.0019
7.4355,0.0015
7.4551,0.0015
7.4747,0.0016
7.4943,0.0016
7.5139,0.0021
7.5335,0.0019
7.5532,0.0018
7.5728,0.0018
7.5924,0.0020
7.6120,0.0022
7.6316,0.0023
7.6513,0.0023
7.6709,0.0025
7.6905,0.0030
7.7101,0.0022
7.7297,0.0031
