X, Y0
24.5037,1.3180
24.5343,1.2655
24.5650,1.1895
24.5956,1.1219
24.6262,1.0563
24.6569,0.9725
24.6875,0.8987
24.7181,0.8330
24.7487,0.7592
24.7794,0.6926
24.8100,0.6331
24.8406,0.5708
24.8713,0.5124
24.9019,0.4623
24.9325,0.4151
24.9631,0.3716
24.9938,0.3336
25.0244,0.2982
25.0550,0.2662
25.0857,0.2391
25.1163,0.2156
25.1469,0.1942
25.1776,0.1750
25.2082,0.1589
25.2388,0.1452
25.2694,0.1326
25.3001,0.1221
25.3307,0.1127
25.3613,0.1038
25.3920,0.0962
25.4226,0.0908
25.4532,0.0846
25.4839,0.0800
25.5145,0.0750
25.5451,0.0703
25.5757,0.0672
25.6064,0.0638
25.6370,0.0600
25.6676,0.0575
25.6983,0.0549
25.7289,0.0518
25.7595,0.0503
25.7901,0.0482
25.8208,0.0465
25.8514,0.0448
25.8820,0.0433
25.9127,0.0414
25.9433,0.0402
25.9739,0.0387
26.0046,0.0373
26.0352,0.0366
26.0658,0.0357
26.0964,0.0344
26.1271,0.0334
26.1577,0.0332
26.1883,0.0319
26.2190,0.0305
26.2496,0.0301
26.2802,0.0296
26.3109,0.0288
26.3415,0.0281
26.3721,0.0275
26.4027,0.0266
26.4334,0.0265
26.4640,0.0255
26.4946,0.0248
26.5253,0.0243
26.5559,0.0239
26.5865,0.0237
26.6171,0.0232
26.6478,0.0223
26.6784,0.0220
26.7090,0.0222
26.7397,0.0209
26.7703,0.0211
26.8009,0.0203
26.8316,0.0204
26.8622,0.0198
26.8928,0.0199
26.9234,0.0193
26.9541,0.0180
26.9847,0.0189
27.0153,0.0186
27.0460,0.0186
27.0766,0.0181
27.1072,0.0176
27.1379,0.0173
27.1685,0.0170
27.1991,0.0170
27.2297,0.0165
27.2604,0.0163
27.2910,0.0163
27.3216,0.0158
27.3523,0.0156
27.3829,0.0160
27.4135,0.0153
27.4441,0.0150
27.4748,0.0151
27.5054,0.0148
27.5360,0.0143
27.5667,0.0143
27.5973,0.0146
27.6279,0.0140
27.6586,0.0140
27.6892,0.0141
27.7198,0.0137
27.7504,0.0133
27.7811,0.0133
27.8117,0.0133
27.8423,0.0131
27.8730,0.0127
27.9036,0.0127
27.9342,0.0129
27.9649,0.0127
27.9955,0.0124
28.0261,0.0127
28.0567,0.0124
28.0874,0.0121
28.1180,0.0124
28.1486,0.0124
28.1793,0.0121
28.2099,0.0123
28.2405,0.0120
28.2711,0.0112
28.3018,0.0120
28.3324,0.0118
28.3630,0.0117
28.3937,0.0116
28.4243,0.0117
28.4549,0.0117
28.4856,0.0114
28.5162,0.0119
28.5468,0.0111
28.5774,0.0115
28.6081,0.0116
28.6387,0.0110
28.6693,0.0114
28.7000,0.0114
28.7306,0.0116
28.7612,0.0113
28.7919,0.0116
28.8225,0.0115
28.8531,0.0111
28.8837,0.0119
28.9144,0.0124
28.9450,0.0127
28.9756,0.0127
29.0063,0.0124
29.0369,0.0133
29.0675,0.0132
29.0981,0.0139
29.1288,0.0137
29.1594,0.0145
29.1900,0.0147
29.2207,0.0145
29.2513,0.0155
29.2819,0.0156
29.3126,0.0158
29.3432,0.0160
29.3738,0.0166
29.4044,0.0168
29.4351,0.0173
29.4657,0.0175
29.4963,0.0178
29.5270,0.0179
29.5576,0.0179
29.5882,0.0179
29.6189,0.0180
29.6495,0.0179
29.6801,0.0183
29.7107,0.0179
29.7414,0.0179
29.7720,0.0176
29.8026,0.0179
29.8333,0.0178
29.8639,0.0176
29.8945,0.0173
29.9251,0.0175
29.9558,0.0170
29.9864,0.0164
30.0170,0.0160
30.0477,0.0163
30.0783,0.0153
30.1089,0.0153
30.1396,0.0153
30.1702,0.0144
30.2008,0.0141
30.2314,0.0136
30.2621,0.0130
30.2927,0.0124
30.3233,0.0127
30.3540,0.0117
30.3846,0.0114
30.4152,0.0114
30.4459,0.0110
30.4765,0.0109
30.5071,0.0101
30.5377,0.0100
30.5684,0.0094
30.5990,0.0097
